b0001	UM146_RS23610
b1312	UM146_RS10540
b1313	UM146_RS10535
b1314	UM146_RS10530
b1315	UM146_RS10525
b1316	UM146_RS10520
b1317	UM146_RS10515
b1319	UM146_RS10505
b1320	UM146_RS10500
b1321	UM146_RS10495
b1322	UM146_RS10490
b1323	UM146_RS10485
b1324	UM146_RS10480
b1325	UM146_RS10475
b1326	UM146_RS10470
b1327	UM146_RS10460
b1328	UM146_RS10455
b1329	UM146_RS10445
b1330	UM146_RS10440
b1332	UM146_RS10435
b1333	UM146_RS10430
b1334	UM146_RS10425
b1335	UM146_RS10420
b1340	UM146_RS10390
b1341	UM146_RS10385
b1342	UM146_RS10380
b1343	UM146_RS10370
b1344	UM146_RS10365
b4570	UM146_RS10880
b1376	UM146_RS10340
b1377	UM146_RS10335
b1378	UM146_RS10330
b4529	UM146_RS10325
b1379	UM146_RS10320
b1380	UM146_RS10315
b1381	UM146_RS10310
b1382	UM146_RS10305
b1383	UM146_RS10300
b1406	UM146_RS10270
b1408	UM146_RS10265
b1409	UM146_RS10260
b1410	UM146_RS10255
b1411	UM146_RS10250
b1412	UM146_RS10245
b1413	UM146_RS10240
b1414	UM146_RS10235
b1415	UM146_RS10230
b1418	UM146_RS10220
b1419	UM146_RS10215
b4428	UM146_RS26360
b1422	UM146_RS10200
b1423	UM146_RS10195
b1424	UM146_RS10190
b1426	UM146_RS10180
b1427	UM146_RS10175
b1428	UM146_RS10170
b1429	UM146_RS10165
b1430	UM146_RS10160
b1431	UM146_RS10155
b1433	UM146_RS10150
b1434	UM146_RS10145
b1435	UM146_RS10140
b1436	UM146_RS10135
b1439	UM146_RS10125
b1440	UM146_RS10120
b1441	UM146_RS10115
b1442	UM146_RS10110
b1443	UM146_RS10105
b1444	UM146_RS10100
b4598	UM146_RS26345
b1445	UM146_RS10090
b1446	UM146_RS10085
b1447	UM146_RS10080
b1448	UM146_RS10075
b1451	UM146_RS10065
b1452	UM146_RS10060
b1453	UM146_RS10055
b1454	UM146_RS10045
b1462	UM146_RS10005
b1463	UM146_RS10000
b1464	UM146_RS09995
b1465	UM146_RS09990
b1466	UM146_RS09985
b1467	UM146_RS09980
b1468	UM146_RS09975
b1469	UM146_RS09970
b1473	UM146_RS09965
b1474	UM146_RS09955
b1475	UM146_RS09950
b1476	UM146_RS09945
b1477	UM146_RS09940
b1478	UM146_RS09930
b1479	UM146_RS09925
b1480	UM146_RS09920
b1481	UM146_RS09915
b1482	UM146_RS09910
b1489	UM146_RS09905
b1491	UM146_RS09895
b1492	UM146_RS09890
b1493	UM146_RS09885
b1494	UM146_RS09875
b1495	UM146_RS09870
b1496	UM146_RS09865
b4747	UM146_RS28560
b1497	UM146_RS09860
b1498	UM146_RS09855
b1499	UM146_RS09850
b1500	UM146_RS09845
b1501	UM146_RS09840
b1502	UM146_RS09835
b1503	UM146_RS09830
b1504	UM146_RS09825
b1507	UM146_RS09720
b1508	UM146_RS09715
b1519	UM146_RS09710
b1520	UM146_RS09705
b1521	UM146_RS09695
b1522	UM146_RS09690
b1523	UM146_RS09685
b1524	UM146_RS09680
b1525	UM146_RS09675
b1526	UM146_RS09670
b1528	UM146_RS09665
b1529	UM146_RS09660
b1530	UM146_RS09655
b1531	UM146_RS09650
b1532	UM146_RS09645
b1533	UM146_RS09610
b1534	UM146_RS09605
b4599	UM146_RS09600
b1535	UM146_RS09595
b1538	UM146_RS09585
b1539	UM146_RS09580
b1540	UM146_RS09575
b1541	UM146_RS09570
b1542	UM146_RS09565
b1546	UM146_RS10865
b4533	UM146_RS10995
b1549	UM146_RS11000
b1554	UM146_RS11010
b1555	UM146_RS11020
b1559	UM146_RS03505
b1560	UM146_RS11075
b1562	UM146_RS11085
b1571	UM146_RS11130
b1573	UM146_RS11135
b1575	UM146_RS11145
b1576	UM146_RS11150
b4534	UM146_RS26280
b1580	UM146_RS09555
b1581	UM146_RS09550
b1582	UM146_RS09545
b1583	UM146_RS09540
b1584	UM146_RS09535
b1585	UM146_RS09530
b1586	UM146_RS09525
b1587	UM146_RS09520
b1588	UM146_RS09515
b1589	UM146_RS09510
b1590	UM146_RS09505
b1591	UM146_RS09500
b1592	UM146_RS09495
b1593	UM146_RS09490
b1594	UM146_RS09485
b1595	UM146_RS09480
b1596	UM146_RS09475
b1597	UM146_RS09470
b4601	UM146_RS09465
b1598	UM146_RS09460
b1599	UM146_RS09455
b1600	UM146_RS09450
b1601	UM146_RS09445
b1602	UM146_RS09440
b1603	UM146_RS09435
b1604	UM146_RS09430
b1605	UM146_RS09425
b1606	UM146_RS09420
b1607	UM146_RS09415
b1608	UM146_RS09410
b1609	UM146_RS09405
b1610	UM146_RS09400
b1611	UM146_RS09395
b1612	UM146_RS09390
b1613	UM146_RS09385
b1614	UM146_RS09380
b1615	UM146_RS09375
b1616	UM146_RS09370
b1617	UM146_RS09365
b1618	UM146_RS09360
b1619	UM146_RS09355
b1620	UM146_RS09350
b1621	UM146_RS09345
b1622	UM146_RS09340
b1623	UM146_RS09335
b1624	UM146_RS09330
b4409	UM146_RS09325
b1625	UM146_RS09320
b1626	UM146_RS09315
b1627	UM146_RS09310
b1628	UM146_RS09305
b1629	UM146_RS09300
b1630	UM146_RS09295
b1631	UM146_RS09290
b1632	UM146_RS09285
b1633	UM146_RS09280
b1634	UM146_RS09270
b1635	UM146_RS09265
b1636	UM146_RS09260
b1637	UM146_RS09255
b1638	UM146_RS09250
b1639	UM146_RS09245
b1640	UM146_RS09240
b1641	UM146_RS09235
b1642	UM146_RS09230
b1643	UM146_RS09225
b1644	UM146_RS09220
b1645	UM146_RS09215
b1646	UM146_RS09210
b1647	UM146_RS09205
b1648	UM146_RS27950
b1649	UM146_RS09195
b1650	UM146_RS09190
b1651	UM146_RS09185
b1652	UM146_RS09180
b1654	UM146_RS09170
b1655	UM146_RS09165
b1656	UM146_RS09160
b1657	UM146_RS09155
b4602	UM146_RS09150
b1658	UM146_RS09145
b1659	UM146_RS09140
b1660	UM146_RS09135
b1661	UM146_RS09130
b1662	UM146_RS09125
b1663	UM146_RS09120
b1664	UM146_RS09115
b1667	UM146_RS09100
b1668	UM146_RS09095
b1669	UM146_RS09090
b1670	UM146_RS09085
b1671	UM146_RS09080
b1672	UM146_RS09075
b1673	UM146_RS09070
b1674	UM146_RS09065
b1675	UM146_RS09060
b1676	UM146_RS09055
b1677	UM146_RS09050
b1678	UM146_RS09045
b1679	UM146_RS09040
b1680	UM146_RS09035
b1681	UM146_RS09030
b1682	UM146_RS09025
b1683	UM146_RS09020
b1684	UM146_RS09015
b1685	UM146_RS09010
b1686	UM146_RS09005
b1687	UM146_RS09000
b1689	UM146_RS08990
b1690	UM146_RS08985
b1691	UM146_RS08980
b1692	UM146_RS08975
b1693	UM146_RS08970
b1694	UM146_RS08965
b1695	UM146_RS08960
b1696	UM146_RS08955
b1697	UM146_RS08945
b1698	UM146_RS08940
b1699	UM146_RS08935
b1700	UM146_RS08930
b1701	UM146_RS08925
b1702	UM146_RS08920
b1703	UM146_RS08910
b1704	UM146_RS08905
b1705	UM146_RS08900
b1706	UM146_RS08895
b1707	UM146_RS08890
b1708	UM146_RS08885
b1709	UM146_RS08880
b1710	UM146_RS08875
b1711	UM146_RS08870
b1712	UM146_RS08865
b1713	UM146_RS08860
b1714	UM146_RS08855
b1715	UM146_RS29015
b1716	UM146_RS08845
b1717	UM146_RS08840
b1718	UM146_RS08835
b1719	UM146_RS08830
b4535	UM146_RS27930
b1722	UM146_RS08815
b1723	UM146_RS08810
b1724	UM146_RS08805
b1725	UM146_RS08800
b1726	UM146_RS08795
b1727	UM146_RS08790
b1728	UM146_RS08785
b1729	UM146_RS08780
b1731	UM146_RS08775
b1732	UM146_RS08770
b1733	UM146_RS08765
b1734	UM146_RS08760
b1735	UM146_RS08755
b1736	UM146_RS08750
b1737	UM146_RS08745
b1738	UM146_RS08740
b1739	UM146_RS08735
b1740	UM146_RS08730
b1741	UM146_RS08720
b1742	UM146_RS08715
b1743	UM146_RS08710
b1744	UM146_RS08705
b1745	UM146_RS08700
b1746	UM146_RS08695
b1747	UM146_RS08690
b1748	UM146_RS08685
b1749	UM146_RS08680
b1750	UM146_RS08675
b1751	UM146_RS08670
b1752	UM146_RS08665
b1753	UM146_RS08660
b1754	UM146_RS08655
b1755	UM146_RS08650
b1756	UM146_RS08645
b1757	UM146_RS08640
b1758	UM146_RS08635
b1759	UM146_RS08630
b1760	UM146_RS08625
b1761	UM146_RS08620
b1763	UM146_RS08615
b1764	UM146_RS08610
b1765	UM146_RS08600
b1766	UM146_RS08590
b1767	UM146_RS08585
b1768	UM146_RS08580
b1769	UM146_RS08575
b1770	UM146_RS08570
b1771	UM146_RS08565
b1772	UM146_RS08560
b1773	UM146_RS08555
b1774	UM146_RS08550
b1775	UM146_RS08545
b1776	UM146_RS08540
b1777	UM146_RS08535
b1779	UM146_RS08525
b1780	UM146_RS08520
b1781	UM146_RS08515
b1782	UM146_RS08510
b1783	UM146_RS08505
b1784	UM146_RS08500
b1785	UM146_RS08495
b1786	UM146_RS08490
b1787	UM146_RS08485
b1788	UM146_RS08480
b1789	UM146_RS08475
b1790	UM146_RS08470
b1791	UM146_RS08465
b1792	UM146_RS08460
b1793	UM146_RS08455
b1794	UM146_RS08450
b4676	UM146_RS08445
b4675	UM146_RS26215
b1795	UM146_RS08440
b1796	UM146_RS08435
b1797	UM146_RS08430
b1798	UM146_RS08425
b1804	UM146_RS08410
b1805	UM146_RS08405
b1806	UM146_RS08400
b1807	UM146_RS08395
b1808	UM146_RS08390
b1809	UM146_RS08385
b1810	UM146_RS08375
b1811	UM146_RS08370
b1812	UM146_RS08365
b1813	UM146_RS08360
b1814	UM146_RS08355
b1815	UM146_RS08350
b1816	UM146_RS08345
b1817	UM146_RS08335
b1818	UM146_RS08330
b1819	UM146_RS08325
b1820	UM146_RS08320
b1821	UM146_RS08310
b1822	UM146_RS08305
b1823	UM146_RS08300
b1824	UM146_RS08295
b1825	UM146_RS08285
b1826	UM146_RS08280
b4536	UM146_RS08275
b1827	UM146_RS08270
b1828	UM146_RS08265
b1829	UM146_RS08260
b1830	UM146_RS08255
b1831	UM146_RS08250
b1832	UM146_RS08245
b1833	UM146_RS08240
b1834	UM146_RS08235
b1835	UM146_RS08230
b1836	UM146_RS08225
b1837	UM146_RS08220
b1838	UM146_RS08215
b1839	UM146_RS08205
b1840	UM146_RS08200
b1841	UM146_RS08195
b1842	UM146_RS08190
b1843	UM146_RS08185
b1844	UM146_RS08180
b1845	UM146_RS08175
b1846	UM146_RS08170
b1847	UM146_RS08160
b1848	UM146_RS08155
b1849	UM146_RS08150
b1850	UM146_RS08145
b1851	UM146_RS08140
b1852	UM146_RS08135
b1853	UM146_RS08125
b1854	UM146_RS08120
b1855	UM146_RS08115
b1856	UM146_RS08110
b1857	UM146_RS08105
b1858	UM146_RS08100
b1859	UM146_RS08095
b1860	UM146_RS08090
b1861	UM146_RS08085
b4677	UM146_RS26175
b1862	UM146_RS08080
b1863	UM146_RS08075
b1864	UM146_RS08070
b1865	UM146_RS08065
b1866	UM146_RS08060
b1867	UM146_RS08055
b1868	UM146_RS08050
b1869	UM146_RS08045
b1870	UM146_RS08040
b1871	UM146_RS08035
b1872	UM146_RS08030
b1873	UM146_RS08025
b1875	UM146_RS08015
b1876	UM146_RS08010
b1878	UM146_RS08005
b1879	UM146_RS08000
b1880	UM146_RS07995
b1881	UM146_RS07990
b1882	UM146_RS07985
b1883	UM146_RS07980
b1884	UM146_RS07975
b1886	UM146_RS07965
b1887	UM146_RS07960
b1888	UM146_RS07955
b1889	UM146_RS07950
b1890	UM146_RS07945
b1891	UM146_RS07940
b1892	UM146_RS07935
b1895	UM146_RS07930
b1896	UM146_RS29085
b1897	UM146_RS29080
b4460	UM146_RS07915
b1900	UM146_RS07910
b1901	UM146_RS07905
b1902	UM146_RS07900
b4537	UM146_RS07895
b4663	UM146_RS26155
b1904	UM146_RS07885
b1905	UM146_RS07880
b1906	UM146_RS07875
b1908	UM146_RS07865
b1912	UM146_RS07845
b1913	UM146_RS07840
b1914	UM146_RS07835
b4752	UM146_RS28530
b1915	UM146_RS07825
b1916	UM146_RS07820
b1917	UM146_RS07815
b1918	UM146_RS07810
b1919	UM146_RS07805
b1920	UM146_RS07800
b1921	UM146_RS07795
b1922	UM146_RS07790
b1924	UM146_RS07780
b1925	UM146_RS07775
b1926	UM146_RS07770
b1927	UM146_RS07765
b1928	UM146_RS07760
b1929	UM146_RS07755
b1930	UM146_RS07750
b1931	UM146_RS07745
b1937	UM146_RS07710
b1938	UM146_RS07705
b1939	UM146_RS07700
b1940	UM146_RS07695
b1941	UM146_RS07690
b1942	UM146_RS07685
b1943	UM146_RS07680
b1944	UM146_RS07675
b1945	UM146_RS07670
b1946	UM146_RS07665
b1947	UM146_RS07660
b1948	UM146_RS07655
b1949	UM146_RS07650
b1950	UM146_RS07645
b1951	UM146_RS07640
b1952	UM146_RS07635
b1953	UM146_RS07630
b1955	UM146_RS07625
b1956	UM146_RS07620
b1957	UM146_RS28515
b1958	UM146_RS07615
b1959	UM146_RS07610
b1960	UM146_RS07605
b1961	UM146_RS07600
b1962	UM146_RS07595
b1963	UM146_RS07590
b1967	UM146_RS07570
b1968	UM146_RS07565
b1969	UM146_RS07560
b1970	UM146_RS07555
b1971	UM146_RS07550
b1972	UM146_RS07545
b1973	UM146_RS07540
b1976	UM146_RS07525
b1981	UM146_RS07425
b1982	UM146_RS07420
b1983	UM146_RS07415
b1985	UM146_RS07405
b1987	UM146_RS07395
b1988	UM146_RS07390
b1990	UM146_RS07245
b1991	UM146_RS07240
b1992	UM146_RS07235
b1993	UM146_RS07230
b2000	UM146_RS12685
b2002	UM146_RS12665
b2003	UM146_RS06985
b2004	UM146_RS06980
b2005	UM146_RS06975
b2006	UM146_RS06970
b4538	UM146_RS26045
b2007	UM146_RS06955
b2008	UM146_RS06950
b2009	UM146_RS06945
b2011	UM146_RS06935
b2014	UM146_RS06930
b4678	UM146_RS28475
b2015	UM146_RS06925
b2016	UM146_RS06920
b4539	UM146_RS06915
b2017	UM146_RS06910
b2018	UM146_RS26040
b2019	UM146_RS06905
b2020	UM146_RS06900
b2021	UM146_RS06895
b2022	UM146_RS06890
b2023	UM146_RS06885
b2024	UM146_RS06880
b2025	UM146_RS06875
b2026	UM146_RS06870
b2027	UM146_RS06865
b2028	UM146_RS06860
b2029	UM146_RS06855
b2039	UM146_RS06815
b2040	UM146_RS06810
b2041	UM146_RS06805
b2042	UM146_RS06800
b2043	UM146_RS06795
b2044	UM146_RS06790
b2045	UM146_RS06785
b2046	UM146_RS06780
b2047	UM146_RS06775
b2048	UM146_RS06770
b2049	UM146_RS06765
b2050	UM146_RS06760
b2051	UM146_RS06755
b2052	UM146_RS06750
b2053	UM146_RS06745
b2054	UM146_RS06740
b2055	UM146_RS06735
b2056	UM146_RS06730
b2057	UM146_RS06725
b2058	UM146_RS06720
b2059	UM146_RS06715
b2060	UM146_RS06710
b2061	UM146_RS06705
b2062	UM146_RS06700
b2063	UM146_RS06695
b2064	UM146_RS06680
b2065	UM146_RS06675
b2066	UM146_RS06670
b2067	UM146_RS06665
b2068	UM146_RS06660
b2069	UM146_RS06655
b2070	UM146_RS06650
b2072	UM146_RS06645
b2073	UM146_RS06640
b2074	UM146_RS06635
b2075	UM146_RS06630
b2076	UM146_RS06625
b2077	UM146_RS06620
b2078	UM146_RS06615
b2079	UM146_RS06610
b2080	UM146_RS06605
b2081	UM146_RS06580
b2085	UM146_RS06570
b2086	UM146_RS06565
b4498	UM146_RS06560
b2091	UM146_RS06555
b2093	UM146_RS06545
b2094	UM146_RS06540
b2095	UM146_RS06535
b2096	UM146_RS06530
b2097	UM146_RS06525
b2098	UM146_RS06520
b2099	UM146_RS06515
b2100	UM146_RS06510
b2101	UM146_RS06505
b2102	UM146_RS06500
b2103	UM146_RS06495
b2104	UM146_RS06490
b2105	UM146_RS06485
b2106	UM146_RS06480
b2107	UM146_RS06475
b2108	UM146_RS06470
b2109	UM146_RS06465
b2110	UM146_RS06460
b2111	UM146_RS06455
b2112	UM146_RS06445
b2113	UM146_RS06440
b2114	UM146_RS06435
b2118	UM146_RS06425
b4541	UM146_RS06420
b2119	UM146_RS06410
b2120	UM146_RS06405
b2121	UM146_RS06400
b2123	UM146_RS06390
b2124	UM146_RS06385
b2125	UM146_RS06380
b2126	UM146_RS06375
b2127	UM146_RS06370
b4542	UM146_RS06365
b2128	UM146_RS06360
b2129	UM146_RS06355
b2130	UM146_RS06350
b2131	UM146_RS06345
b2132	UM146_RS06340
b2133	UM146_RS06335
b2134	UM146_RS06330
b2135	UM146_RS06325
b2136	UM146_RS06320
b2137	UM146_RS06315
b4679	UM146_RS06305
b2140	UM146_RS06300
b2141	UM146_RS06295
b2142	UM146_RS06290
b2143	UM146_RS06285
b2144	UM146_RS06280
b2145	UM146_RS06275
b2146	UM146_RS06270
b2147	UM146_RS06265
b2148	UM146_RS06260
b2149	UM146_RS06255
b2150	UM146_RS06250
b2151	UM146_RS06245
b2152	UM146_RS06235
b2153	UM146_RS06230
b2154	UM146_RS06220
b2155	UM146_RS06215
b2156	UM146_RS06205
b2157	UM146_RS06200
b2158	UM146_RS06195
b2159	UM146_RS06190
b2160	UM146_RS06185
b2162	UM146_RS06180
b2163	UM146_RS06175
b2164	UM146_RS06170
b2166	UM146_RS06160
b2167	UM146_RS06155
b2168	UM146_RS06150
b2169	UM146_RS06145
b2170	UM146_RS06140
b4502	UM146_RS06135
b2171	UM146_RS06130
b2172	UM146_RS06125
b2173	UM146_RS06120
b2174	UM146_RS06115
b2175	UM146_RS06110
b2176	UM146_RS06105
b2177	UM146_RS06100
b2178	UM146_RS06095
b2179	UM146_RS06090
b2180	UM146_RS06085
b2181	UM146_RS06080
b2182	UM146_RS06075
b2183	UM146_RS06070
b2184	UM146_RS06065
b2185	UM146_RS06060
b2186	UM146_RS06055
b2187	UM146_RS06050
b2188	UM146_RS06045
b2193	UM146_RS06020
b2194	UM146_RS06015
b2195	UM146_RS06010
b2196	UM146_RS06005
b2197	UM146_RS06000
b2198	UM146_RS05995
b2199	UM146_RS05990
b2200	UM146_RS05985
b2201	UM146_RS05980
b2202	UM146_RS05975
b2203	UM146_RS05970
b2204	UM146_RS05965
b2205	UM146_RS05960
b2206	UM146_RS05955
b2207	UM146_RS05950
b2208	UM146_RS05945
b4604	UM146_RS29010
b2209	UM146_RS05935
b2210	UM146_RS05930
b2211	UM146_RS05925
b2212	UM146_RS05920
b2213	UM146_RS05915
b2214	UM146_RS05910
b2215	UM146_RS05905
b2216	UM146_RS05900
b2217	UM146_RS05895
b2218	UM146_RS05890
b2219	UM146_RS05885
b2220	UM146_RS05880
b2221	UM146_RS05875
b2222	UM146_RS05870
b2223	UM146_RS05865
b2224	UM146_RS05860
b2225	UM146_RS05855
b2226	UM146_RS05850
b2229	UM146_RS05840
b2230	UM146_RS05835
b2231	UM146_RS05830
b2232	UM146_RS05825
b2233	UM146_RS05820
b2234	UM146_RS05810
b2235	UM146_RS05805
b2236	UM146_RS05800
b2237	UM146_RS05795
b2239	UM146_RS05790
b2240	UM146_RS05785
b2241	UM146_RS05780
b2242	UM146_RS05775
b2243	UM146_RS05770
b2244	UM146_RS05765
b2245	UM146_RS05755
b2246	UM146_RS05750
b2247	UM146_RS05745
b2248	UM146_RS05740
b2249	UM146_RS05735
b2250	UM146_RS05730
b2251	UM146_RS05725
b2252	UM146_RS05720
b2253	UM146_RS05715
b2254	UM146_RS05710
b2255	UM146_RS05705
b2256	UM146_RS05700
b2257	UM146_RS05695
b4544	UM146_RS05690
b2258	UM146_RS05685
b2259	UM146_RS05680
b2260	UM146_RS05675
b2261	UM146_RS05670
b2262	UM146_RS05665
b2263	UM146_RS05660
b2264	UM146_RS05655
b2265	UM146_RS05650
b2266	UM146_RS05645
b2267	UM146_RS05640
b2268	UM146_RS05635
b2270	UM146_RS05630
b2271	UM146_RS05625
b2272	UM146_RS05620
b2276	UM146_RS05615
b2277	UM146_RS05610
b2278	UM146_RS05605
b2279	UM146_RS05600
b2280	UM146_RS05595
b2281	UM146_RS05590
b2282	UM146_RS05585
b2283	UM146_RS05580
b2284	UM146_RS05575
b2285	UM146_RS05570
b2286	UM146_RS05565
b2287	UM146_RS05560
b2288	UM146_RS05555
b2289	UM146_RS05550
b2290	UM146_RS05545
b2291	UM146_RS05540
b2292	UM146_RS05535
b2293	UM146_RS05530
b2294	UM146_RS05525
b2295	UM146_RS05520
b2296	UM146_RS05510
b2297	UM146_RS05505
b2298	UM146_RS05500
b2299	UM146_RS05495
b2300	UM146_RS05490
b2301	UM146_RS05485
b2302	UM146_RS05480
b2303	UM146_RS05475
b2304	UM146_RS05470
b2305	UM146_RS05465
b2306	UM146_RS05460
b2307	UM146_RS05455
b2308	UM146_RS05450
b2309	UM146_RS05445
b2310	UM146_RS05440
b2311	UM146_RS05435
b2312	UM146_RS05430
b2313	UM146_RS05425
b2314	UM146_RS05420
b2315	UM146_RS05415
b2316	UM146_RS05410
b2317	UM146_RS05405
b2318	UM146_RS05400
b2319	UM146_RS05395
b2320	UM146_RS05390
b2321	UM146_RS05385
b2322	UM146_RS05380
b2323	UM146_RS05375
b2324	UM146_RS05370
b2325	UM146_RS05365
b2326	UM146_RS05360
b2327	UM146_RS05355
b2328	UM146_RS05350
b2329	UM146_RS05345
b2330	UM146_RS05340
b2331	UM146_RS05335
b2333	UM146_RS05320
b2336	UM146_RS05305
b2339	UM146_RS05295
b2340	UM146_RS05290
b2341	UM146_RS05285
b2342	UM146_RS05280
b2343	UM146_RS05275
b2344	UM146_RS05270
b2346	UM146_RS05265
b2347	UM146_RS05260
b2349	UM146_RS05250
b2357	UM146_RS03475
b2359	UM146_RS03435
b2360	UM146_RS03430
b2361	UM146_RS03425
b4501	UM146_RS04935
b2364	UM146_RS04930
b2365	UM146_RS04925
b2366	UM146_RS22780
b2367	UM146_RS04915
b2368	UM146_RS04910
b2369	UM146_RS04905
b2370	UM146_RS04900
b2371	UM146_RS04895
b2372	UM146_RS04890
b2373	UM146_RS04885
b2374	UM146_RS04880
b2375	UM146_RS04875
b2376	UM146_RS04870
b2377	UM146_RS04860
b2378	UM146_RS04855
b4680	UM146_RS25895
b2379	UM146_RS04850
b2380	UM146_RS04845
b2381	UM146_RS04840
b2382	UM146_RS04835
b2383	UM146_RS04830
b2384	UM146_RS04825
b2385	UM146_RS04820
b2386	UM146_RS04815
b2387	UM146_RS04810
b2388	UM146_RS04805
b2389	UM146_RS04800
b2390	UM146_RS04795
b2392	UM146_RS04785
b2395	UM146_RS04775
b2398	UM146_RS04760
b2399	UM146_RS04755
b2400	UM146_RS04750
b2405	UM146_RS04725
b2406	UM146_RS04715
b2407	UM146_RS04710
b2408	UM146_RS04705
b2409	UM146_RS04700
b2410	UM146_RS04695
b4546	UM146_RS04690
b2411	UM146_RS04685
b2412	UM146_RS04680
b2413	UM146_RS04675
b2414	UM146_RS04670
b2415	UM146_RS04665
b2416	UM146_RS04660
b2417	UM146_RS04655
b2418	UM146_RS04650
b2419	UM146_RS04645
b2421	UM146_RS04640
b2422	UM146_RS04635
b2423	UM146_RS04630
b2424	UM146_RS04625
b2425	UM146_RS04620
b2426	UM146_RS04615
b2428	UM146_RS04610
b2429	UM146_RS04605
b2431	UM146_RS04600
b2432	UM146_RS04595
b2433	UM146_RS04590
b2434	UM146_RS04585
b2435	UM146_RS04580
b2436	UM146_RS04575
b2437	UM146_RS04570
b2438	UM146_RS04565
b2439	UM146_RS04560
b2440	UM146_RS04555
b2441	UM146_RS04550
b2451	UM146_RS04545
b2452	UM146_RS04540
b2453	UM146_RS04535
b2454	UM146_RS04530
b2455	UM146_RS04525
b2456	UM146_RS04520
b2457	UM146_RS04515
b2458	UM146_RS04510
b2459	UM146_RS04505
b2460	UM146_RS04500
b2461	UM146_RS04495
b2462	UM146_RS04490
b2463	UM146_RS04485
b2464	UM146_RS04480
b2465	UM146_RS04475
b2466	UM146_RS04470
b2467	UM146_RS04465
b2468	UM146_RS04460
b2470	UM146_RS04450
b4606	UM146_RS27795
b2471	UM146_RS04440
b2472	UM146_RS04435
b4547	UM146_RS04430
b2473	UM146_RS04425
b2474	UM146_RS04420
b2475	UM146_RS04415
b2476	UM146_RS04410
b2477	UM146_RS04400
b2478	UM146_RS04395
b2479	UM146_RS04390
b2480	UM146_RS04385
b2493	UM146_RS04380
b2494	UM146_RS04375
b2495	UM146_RS04370
b2496	UM146_RS04365
b2497	UM146_RS04360
b2498	UM146_RS04355
b2499	UM146_RS04350
b2500	UM146_RS04345
b2501	UM146_RS04340
b2502	UM146_RS04335
b2503	UM146_RS04330
b2504	UM146_RS04320
b2505	UM146_RS04315
b2506	UM146_RS04310
b2507	UM146_RS04305
b2508	UM146_RS04300
b2509	UM146_RS04295
b2511	UM146_RS04270
b2512	UM146_RS04265
b2513	UM146_RS04260
b2514	UM146_RS04255
b2515	UM146_RS04250
b2516	UM146_RS04245
b2517	UM146_RS04240
b2518	UM146_RS04235
b2519	UM146_RS04230
b2520	UM146_RS04225
b2521	UM146_RS04220
b2522	UM146_RS04215
b2523	UM146_RS04210
b2524	UM146_RS04205
b2525	UM146_RS04200
b2526	UM146_RS04195
b2527	UM146_RS04190
b2528	UM146_RS04185
b2529	UM146_RS04180
b2530	UM146_RS04175
b2531	UM146_RS04170
b2532	UM146_RS04165
b2533	UM146_RS04160
b2534	UM146_RS04155
b2535	UM146_RS04150
b2536	UM146_RS04145
b2543	UM146_RS04140
b2544	UM146_RS04135
b2545	UM146_RS04130
b2546	UM146_RS04125
b2547	UM146_RS04120
b2548	UM146_RS04115
b2549	UM146_RS04110
b2550	UM146_RS04105
b2551	UM146_RS04100
b2552	UM146_RS04095
b2553	UM146_RS04090
b2554	UM146_RS04085
b2555	UM146_RS04080
b2556	UM146_RS04075
b2557	UM146_RS04070
b2558	UM146_RS04065
b2559	UM146_RS04060
b2560	UM146_RS04055
b2561	UM146_RS04050
b2562	UM146_RS04045
b4687	UM146_RS04040
b2563	UM146_RS04030
b2564	UM146_RS04025
b2565	UM146_RS04020
b2566	UM146_RS04015
b2567	UM146_RS04010
b2568	UM146_RS04005
b2569	UM146_RS04000
b2570	UM146_RS03995
b2571	UM146_RS03990
b2572	UM146_RS03985
b2573	UM146_RS03980
b4725	UM146_RS28425
b2574	UM146_RS03970
b2575	UM146_RS03965
b2576	UM146_RS03960
b2577	UM146_RS03955
b2578	UM146_RS03950
b2579	UM146_RS03945
b2580	UM146_RS03940
b2581	UM146_RS03935
b2582	UM146_RS03925
b2583	UM146_RS03920
b2584	UM146_RS03915
b2585	UM146_RS03910
b2586	UM146_RS03905
b2587	UM146_RS03900
b2592	UM146_RS03845
b2593	UM146_RS03840
b2594	UM146_RS03835
b2595	UM146_RS03830
b2597	UM146_RS03820
b2599	UM146_RS03815
b2600	UM146_RS03810
b2601	UM146_RS03805
b2602	UM146_RS03800
b2603	UM146_RS03795
b2604	UM146_RS03790
b2605	UM146_RS03785
b2606	UM146_RS03780
b2607	UM146_RS03775
b2608	UM146_RS03770
b2609	UM146_RS03765
b2610	UM146_RS03760
b2611	UM146_RS03755
b4461	UM146_RS03750
b2614	UM146_RS03745
b2615	UM146_RS03740
b2616	UM146_RS03735
b2617	UM146_RS03730
b2618	UM146_RS03725
b2619	UM146_RS03720
b2620	UM146_RS03715
b2633	UM146_RS22965
b2643	UM146_RS12670
b2659	UM146_RS03395
b2660	UM146_RS03390
b2661	UM146_RS03385
b2662	UM146_RS03380
b2663	UM146_RS03375
b2664	UM146_RS03370
b2665	UM146_RS03365
b2666	UM146_RS03360
b2667	UM146_RS03355
b2668	UM146_RS03350
b2669	UM146_RS03345
b2670	UM146_RS03340
